user_input,action,product,quantity
Please pull out 1 jeans.,remove,apples,4
Scratch the t-shirt.,add,lamp,7
Remove 4 eggs from the basket.,add,blender,5
Let’s drop 1 bananas.,remove,apples,-3
I need 3 more backpack.,remove,shorts,8
"Nix 2 yogurt, please.",add,jacket,3
"Nix 4 toaster, please.",add,eggs,1
Please pull out 10 eggs.,remove,jacket,3
Drop the shoes completely.,remove,jacket,4
I don’t want the pan anymore.,remove,mug,-1
Pop 2 blanket into my shopping bag.,remove,sweater,6
Could you toss 4 toaster into the cart?,remove,yogurt,1
Forget about the oranges.,remove,socks,-1
Throw in 5 bottle for me.,add,cheese,2
Please pull out 2 backpack.,remove,socks,1
Could you toss 6 shoes into the cart?,remove,bread,4
Drop the toaster completely.,add,blanket,7
Let’s drop 10 blender.,remove,bottle,5
Drop the milk completely.,remove,toaster,10
Drop the lamp completely.,remove,bread,3
"I changed my mind about those plate, take 3 out.",remove,jeans,0
Could you toss 3 oranges into the cart?,add,socks,2
I don’t need 10 sweater anymore.,remove,milk,4
I need 6 more shoes.,add,toaster,5
Get rid of 1 backpack from my order.,add,toaster,4
Please pull out 5 scarf.,add,oranges,1
I don’t want the pillow anymore.,add,hat,2
"Grab me 5 t-shirt, please.",add,lamp,3
I don’t want the plate anymore.,add,oranges,0
Please pull out 10 toaster.,add,t-shirt,6
"I changed my mind about those yogurt, take 3 out.",remove,cheese,9
Could you toss 1 shorts into the cart?,remove,blender,2
Can you take out 1 bread?,add,sweater,1
Pop 6 milk into my shopping bag.,remove,pillow,3
I'd like to get 4 pillow.,add,sweater,5
Can you take out 6 pan?,remove,blanket,1
"Nix 3 knife, please.",add,plate,4
Get rid of 2 cheese from my order.,remove,pillow,3
"Grab me 3 bottle, please.",remove,scarf,4
I want the oranges gone.,remove,plate,4
"I changed my mind about those plate, take 1 out.",remove,scarf,-1
I'd like to get 4 jeans.,remove,blanket,5
Let’s add 6 bread to the basket.,add,apples,2
Throw in 1 mug for me.,add,pan,5
Get rid of 1 backpack from my order.,add,water,3
Get rid of 5 shoes from my order.,remove,jeans,0
Eliminate the mug from my cart.,remove,hat,5
Can you take out 10 bottle?,add,water,1
Remove 6 apples from the basket.,add,bananas,6
Let’s add 6 water to the basket.,add,t-shirt,2
Please pull out 2 t-shirt.,add,yogurt,6
Forget about the milk.,remove,lamp,3
I want the t-shirt gone.,add,water,2
I need 4 more pan.,add,plate,5
Scratch the hat.,remove,bread,3
Pop 1 bottle into my shopping bag.,remove,pillow,-1
Could you toss 3 mug into the cart?,remove,eggs,6
Pop 1 cheese into my shopping bag.,add,shoes,1
Please pull out 3 sweater.,remove,water,9
"Grab me 4 jeans, please.",add,apples,2
Eliminate the blanket from my cart.,remove,milk,5
I don’t need 6 milk anymore.,remove,t-shirt,1
Get rid of 10 hat from my order.,add,scarf,2
"I changed my mind about those shorts, take 3 out.",add,bananas,9
I'd like to get 6 bottle.,add,knife,0
Please pull out 2 scarf.,remove,bread,2
Remove 4 eggs from the basket.,add,bottle,-1
Eliminate the socks from my cart.,remove,bottle,7
Can you take out 5 bottle?,add,sweater,-2
Let’s drop 4 pillow.,add,bread,-3
Scratch the blanket.,remove,sweater,1
Wipe out the water.,add,apples,3
I want the shoes gone.,remove,blender,4
Eliminate the blanket from my cart.,remove,cheese,7
I don’t want the plate anymore.,add,toaster,4
I need 4 more pillow.,add,shoes,1
I don’t want the pan anymore.,add,bananas,3
Throw in 1 scarf for me.,remove,plate,5
Can you take out 6 lamp?,remove,scarf,-1
"Nix 1 pan, please.",add,cheese,4
"I changed my mind about those chocolate, take 6 out.",add,lamp,5
Throw in 3 apples for me.,remove,plate,1
Get rid of 10 mug from my order.,add,cheese,-1
Scratch the toaster.,add,t-shirt,3
I need 10 more chocolate.,add,pan,3
I'd like to get 4 jeans.,remove,pillow,3
Let’s drop 4 apples.,remove,cheese,7
Please pull out 3 apples.,remove,chocolate,3
Drop the blanket completely.,add,water,3
I want the yogurt gone.,remove,milk,2
Eliminate the eggs from my cart.,remove,bananas,-1
"I changed my mind about those pan, take 3 out.",remove,hat,1
Cancel the milk.,add,blanket,4
Let’s drop 4 hat.,add,scarf,-1
Could you toss 1 pan into the cart?,add,bananas,3
"Nix 3 pillow, please.",add,yogurt,2
Include 1 sweater with my order.,remove,pillow,4
"Nix 6 milk, please.",remove,pan,2
Get rid of 10 hat from my order.,add,backpack,2
"Nix 3 cheese, please.",add,t-shirt,2
Get rid of 10 apples from my order.,add,shoes,2
Can you take out 10 cheese?,remove,shoes,5
Pop 2 bottle into my shopping bag.,remove,bottle,6
Throw in 1 milk for me.,add,apples,1
I'd like to get 4 toaster.,remove,shorts,9
Let’s drop 2 bread.,remove,water,2
Please pull out 6 plate.,remove,pan,0
Let’s drop 6 pillow.,remove,apples,3
Remove 1 shorts from the basket.,add,eggs,6
Remove 3 eggs from the basket.,add,pillow,4
"I changed my mind about those bread, take 10 out.",remove,apples,3
Could you toss 1 apples into the cart?,remove,chocolate,2
Forget about the socks.,add,chocolate,2
Pop 5 jacket into my shopping bag.,remove,backpack,3
Wipe out the eggs.,add,toaster,8
"Nix 6 milk, please.",add,scarf,3
Include 5 socks with my order.,add,knife,2
I'd like to get 1 yogurt.,add,oranges,3
"Nix 2 pan, please.",add,backpack,5
I want the plate gone.,add,pillow,7
Scratch the apples.,remove,knife,0
I need 10 more t-shirt.,remove,pillow,6
Scratch the socks.,add,bottle,6
Pop 6 jacket into my shopping bag.,remove,backpack,3
Pop 6 milk into my shopping bag.,remove,toaster,1
Pop 1 t-shirt into my shopping bag.,add,jeans,4
Wipe out the lamp.,add,hat,-1
Drop the lamp completely.,add,oranges,6
Remove 6 jacket from the basket.,remove,apples,0
Let’s drop 10 blanket.,remove,milk,0
"Grab me 10 cheese, please.",remove,bananas,-1
"Nix 6 blender, please.",add,pillow,4
Include 5 mug with my order.,remove,hat,2
I'd like to get 4 toaster.,add,scarf,1
Could you toss 6 blanket into the cart?,add,shorts,6
Drop the pan completely.,add,bananas,3
I'd like to get 3 bananas.,add,milk,8
Let’s drop 5 jeans.,add,socks,3
Could you toss 5 scarf into the cart?,remove,pillow,3
I'd like to get 4 eggs.,add,bread,1
I need 4 more bread.,remove,water,5
Include 5 apples with my order.,add,scarf,2
I'd like to get 6 bottle.,remove,hat,3
I don’t need 6 bottle anymore.,remove,blanket,0
Get rid of 4 eggs from my order.,remove,hat,4
Include 5 mug with my order.,add,chocolate,-7
Please pull out 1 t-shirt.,remove,shoes,3
Pop 4 pan into my shopping bag.,remove,hat,1
I don’t need 4 chocolate anymore.,add,plate,8
I don’t want the hat anymore.,add,jeans,6
Pop 5 eggs into my shopping bag.,remove,backpack,6
Include 2 eggs with my order.,remove,bananas,1
Cancel the oranges.,add,shorts,4
Can you take out 2 toaster?,add,pan,3
"Grab me 10 pan, please.",remove,lamp,1
Pop 1 chocolate into my shopping bag.,add,knife,-3
"Nix 1 cheese, please.",add,eggs,-1
I don’t want the milk anymore.,remove,jacket,3
I don’t want the scarf anymore.,remove,pan,2
"Grab me 5 water, please.",add,blanket,3
I'd like to get 2 jeans.,add,blanket,4
"I changed my mind about those oranges, take 4 out.",remove,bread,6
Can you take out 2 bread?,remove,shorts,2
I don’t want the toaster anymore.,remove,hat,-1
Remove 10 mug from the basket.,remove,cheese,7
Remove 6 backpack from the basket.,remove,plate,6
Let’s add 6 bananas to the basket.,remove,sweater,6
Please pull out 6 water.,add,oranges,5
I need 6 more shoes.,remove,shorts,6
Pop 3 water into my shopping bag.,add,pan,-3
Let’s add 10 hat to the basket.,add,blanket,5
"Nix 2 pan, please.",remove,knife,3
I need 1 more knife.,add,milk,2
Include 6 jeans with my order.,add,t-shirt,6
Can you take out 3 mug?,add,blender,-2
"Nix 2 backpack, please.",remove,toaster,6
"Nix 3 cheese, please.",add,jacket,4
Forget about the eggs.,remove,blanket,5
Let’s drop 1 knife.,add,toaster,0
Cancel the lamp.,remove,blender,7
"I changed my mind about those eggs, take 6 out.",add,bananas,6
Drop the lamp completely.,add,blanket,6
Can you take out 2 bread?,add,socks,3
Include 4 water with my order.,remove,bread,-3
Get rid of 4 scarf from my order.,remove,oranges,1
Drop the chocolate completely.,remove,socks,1
"Grab me 5 yogurt, please.",add,shoes,5
I need 4 more water.,remove,lamp,4
Remove 1 pillow from the basket.,add,lamp,7
Can you take out 10 shorts?,remove,hat,2
I want the scarf gone.,remove,blanket,2
Let’s drop 1 bottle.,add,blanket,2
Scratch the pan.,add,hat,4
I don’t need 6 t-shirt anymore.,add,t-shirt,4
Eliminate the pillow from my cart.,add,shorts,3
Please pull out 5 plate.,add,socks,3
I want the sweater gone.,add,t-shirt,1
Let’s drop 5 socks.,add,hat,5
Get rid of 1 eggs from my order.,remove,bottle,7
Throw in 1 jacket for me.,add,eggs,2
Can you take out 1 lamp?,remove,knife,0
I want the pillow gone.,remove,blanket,8
I don’t want the knife anymore.,remove,t-shirt,2
Throw in 2 water for me.,remove,chocolate,1
Pop 2 chocolate into my shopping bag.,add,blender,4
I don’t need 6 bottle anymore.,add,scarf,1
I don’t need 10 milk anymore.,add,blender,6
I'd like to get 2 lamp.,remove,bread,5
I need 3 more backpack.,remove,jeans,0
"Nix 5 chocolate, please.",add,shoes,3
"I changed my mind about those bread, take 4 out.",add,oranges,3
Cancel the bottle.,remove,lamp,7
I want the pillow gone.,add,pillow,1
Include 3 t-shirt with my order.,add,chocolate,1
I don’t want the scarf anymore.,remove,eggs,2
I don’t want the eggs anymore.,add,shorts,3
Throw in 3 sweater for me.,remove,mug,2
Cancel the backpack.,add,sweater,6
Please pull out 3 pillow.,add,oranges,4
Please pull out 5 milk.,remove,eggs,3
Please pull out 5 plate.,remove,milk,10
Could you toss 4 backpack into the cart?,remove,t-shirt,5
"Nix 1 cheese, please.",add,chocolate,5
Wipe out the pillow.,remove,hat,2
I'd like to get 6 mug.,remove,hat,6
I don’t need 4 backpack anymore.,remove,apples,1
I'd like to get 1 yogurt.,add,jacket,4
Pop 4 toaster into my shopping bag.,remove,apples,3
Let’s add 10 jeans to the basket.,remove,knife,5
Get rid of 2 hat from my order.,remove,eggs,7
Get rid of 10 bottle from my order.,remove,water,3
I need 6 more shoes.,remove,pillow,3
Please pull out 3 t-shirt.,remove,cheese,4
Cancel the plate.,add,jacket,1
Let’s drop 4 milk.,remove,blanket,8
I want the oranges gone.,add,eggs,0
I don’t need 2 water anymore.,add,sweater,5
Include 3 jeans with my order.,add,apples,2
Eliminate the yogurt from my cart.,remove,backpack,1
Get rid of 10 apples from my order.,add,mug,5
Could you toss 1 shorts into the cart?,remove,eggs,5
Throw in 3 apples for me.,remove,bottle,0
Forget about the jacket.,remove,water,2
"Nix 1 pan, please.",remove,eggs,2
Remove 5 knife from the basket.,remove,milk,6
Let’s drop 6 hat.,add,oranges,2
I'd like to get 6 milk.,add,sweater,2
Can you take out 4 cheese?,remove,milk,3
Include 5 socks with my order.,remove,shoes,1
Let’s add 6 bananas to the basket.,remove,shorts,3
Please pull out 1 bread.,remove,jeans,2
Could you toss 6 jacket into the cart?,remove,bananas,1
I'd like to get 2 lamp.,remove,yogurt,6
"I changed my mind about those chocolate, take 6 out.",add,oranges,3
Remove 10 bottle from the basket.,add,jacket,5
Drop the shorts completely.,add,toaster,6
Get rid of 5 socks from my order.,remove,cheese,0
Get rid of 6 bread from my order.,remove,blender,5
Scratch the hat.,add,shorts,4
I don’t want the hat anymore.,remove,bottle,2
Include 2 socks with my order.,remove,chocolate,7
Throw in 3 knife for me.,remove,pan,5
Let’s drop 10 plate.,add,milk,6
"Grab me 6 backpack, please.",remove,bananas,3
Can you take out 4 cheese?,add,socks,8
Cancel the cheese.,remove,apples,3
I need 4 more bread.,add,t-shirt,5
Get rid of 4 socks from my order.,remove,backpack,5
Remove 1 blender from the basket.,remove,water,2
Please pull out 1 scarf.,remove,chocolate,8
Include 3 t-shirt with my order.,remove,apples,3
I'd like to get 4 water.,remove,jacket,2
I don’t need 10 sweater anymore.,remove,plate,2
Please pull out 2 sweater.,remove,shoes,4
Could you toss 6 blender into the cart?,remove,milk,1
Drop the lamp completely.,add,apples,0
Get rid of 1 blanket from my order.,add,pillow,0
Pop 1 bottle into my shopping bag.,remove,jeans,0
Pop 1 hat into my shopping bag.,add,lamp,-1
Get rid of 5 jacket from my order.,remove,chocolate,4
Throw in 2 backpack for me.,add,apples,3
Scratch the toaster.,remove,bread,-3
Include 4 t-shirt with my order.,add,cheese,5
Include 3 shorts with my order.,remove,bread,1
Pop 3 pillow into my shopping bag.,add,pan,3
Pop 4 toaster into my shopping bag.,add,mug,7
"I changed my mind about those apples, take 1 out.",add,apples,13
"Nix 4 sweater, please.",remove,t-shirt,7
Include 5 chocolate with my order.,remove,jeans,3
Throw in 2 socks for me.,add,milk,6
Pop 1 pan into my shopping bag.,remove,mug,5
Forget about the shoes.,remove,oranges,7
I'd like to get 4 blanket.,remove,t-shirt,4
Remove 10 pillow from the basket.,remove,bananas,-3
Please pull out 4 backpack.,add,jeans,2
I'd like to get 1 bottle.,add,bread,6
Include 4 yogurt with my order.,add,bottle,7
Get rid of 5 socks from my order.,remove,backpack,1
Could you toss 6 pan into the cart?,add,jacket,0
Pop 2 bottle into my shopping bag.,add,chocolate,1
Let’s add 10 blanket to the basket.,remove,jacket,3
Can you take out 10 knife?,remove,mug,3
Please pull out 2 socks.,add,plate,0
I'd like to get 3 pillow.,remove,yogurt,4
Please pull out 4 backpack.,remove,yogurt,7
Scratch the shoes.,add,yogurt,5
Throw in 1 shorts for me.,add,bread,4
Can you take out 10 eggs?,add,bananas,5
I need 6 more toaster.,remove,shoes,0
Remove 5 blanket from the basket.,add,apples,5
Scratch the blanket.,add,hat,-1
"Nix 10 cheese, please.",remove,plate,2
Wipe out the lamp.,add,lamp,5
Remove 5 jacket from the basket.,remove,plate,8
Include 5 chocolate with my order.,add,sweater,3
"Grab me 3 jacket, please.",add,t-shirt,10
"Grab me 5 scarf, please.",add,mug,9
Let’s add 10 blanket to the basket.,add,mug,1
Let’s drop 1 bananas.,remove,blender,3
"Grab me 4 jeans, please.",remove,bread,0
Eliminate the jacket from my cart.,remove,chocolate,3
Could you toss 3 oranges into the cart?,add,toaster,5
Throw in 5 blanket for me.,remove,water,5
Pop 6 jacket into my shopping bag.,add,sweater,9
Drop the toaster completely.,remove,t-shirt,3
I need 2 more scarf.,remove,backpack,-2
Remove 5 knife from the basket.,add,hat,3
Get rid of 5 hat from my order.,remove,backpack,6
Could you toss 3 knife into the cart?,remove,blanket,1
Please pull out 2 pan.,add,bananas,-1
I don’t need 4 chocolate anymore.,add,water,8
I'd like to get 3 bread.,add,mug,7
Remove 6 backpack from the basket.,remove,pillow,2
Remove 10 toaster from the basket.,add,mug,1
"I changed my mind about those bananas, take 3 out.",remove,jacket,-1
Let’s drop 4 milk.,remove,sweater,6
"I changed my mind about those socks, take 3 out.",remove,sweater,5
I need 6 more apples.,add,blender,4
Drop the bread completely.,remove,chocolate,3
Forget about the shoes.,remove,pan,2
Could you toss 4 knife into the cart?,add,t-shirt,1
Pop 6 hat into my shopping bag.,add,shoes,1
Throw in 2 eggs for me.,remove,mug,7
Include 6 chocolate with my order.,remove,blanket,10
Let’s drop 5 apples.,remove,pan,3
"I changed my mind about those backpack, take 1 out.",add,hat,5
Can you take out 6 blender?,remove,cheese,3
I need 3 more milk.,add,oranges,5
Scratch the backpack.,remove,apples,2
I want the oranges gone.,add,bread,5
Pop 1 plate into my shopping bag.,remove,plate,7
Could you toss 2 pan into the cart?,remove,toaster,6
Remove 10 toaster from the basket.,remove,eggs,2
"Nix 2 blender, please.",remove,chocolate,2
Include 1 mug with my order.,remove,knife,5
Let’s drop 5 jeans.,remove,apples,3
I'd like to get 10 apples.,remove,bottle,2
Pop 6 jacket into my shopping bag.,remove,plate,1
Forget about the socks.,add,chocolate,1
"I changed my mind about those shorts, take 1 out.",add,eggs,5
Can you take out 3 yogurt?,add,shorts,-2
Please pull out 5 jeans.,add,t-shirt,-1
I need 6 more knife.,add,sweater,2
"Grab me 10 pan, please.",add,sweater,6
"Nix 3 shorts, please.",add,pan,5
Could you toss 4 bottle into the cart?,remove,bread,4
Let’s drop 1 milk.,add,water,3
Let’s drop 1 pan.,add,mug,0
Include 1 shoes with my order.,remove,lamp,0
Eliminate the jeans from my cart.,remove,t-shirt,2
Wipe out the apples.,add,apples,5
"Grab me 10 blender, please.",remove,plate,-1
"Grab me 1 apples, please.",remove,pillow,0
Can you take out 6 lamp?,add,bottle,7
Wipe out the plate.,add,plate,2
Include 3 mug with my order.,add,bananas,7
I need 2 more bottle.,add,shoes,0
Could you toss 1 blender into the cart?,add,sweater,2
Eliminate the bread from my cart.,add,scarf,4
Include 6 blender with my order.,remove,blender,7
Drop the milk completely.,remove,scarf,4
Please pull out 2 backpack.,remove,blanket,5
Throw in 1 knife for me.,add,jeans,3
Wipe out the cheese.,add,blender,0
Get rid of 6 yogurt from my order.,add,shorts,1
Please pull out 1 hat.,remove,apples,8
I'd like to get 2 mug.,add,jacket,3
I need 4 more bread.,remove,backpack,0
Remove 6 oranges from the basket.,add,apples,7
Cancel the pillow.,add,backpack,3
Let’s add 3 pan to the basket.,remove,blanket,1
I'd like to get 4 water.,remove,mug,9
"I changed my mind about those socks, take 3 out.",remove,bread,3
Get rid of 2 cheese from my order.,remove,eggs,7
Get rid of 6 yogurt from my order.,add,mug,3
Let’s add 3 shorts to the basket.,remove,scarf,7
Include 6 chocolate with my order.,remove,shoes,0
I don’t need 10 sweater anymore.,remove,plate,7
Let’s add 10 blanket to the basket.,remove,eggs,1
Wipe out the eggs.,add,socks,6
Could you toss 6 hat into the cart?,add,cheese,1
Pop 5 eggs into my shopping bag.,add,yogurt,3
Pop 1 water into my shopping bag.,add,chocolate,3
Drop the bottle completely.,remove,pillow,7
I want the plate gone.,remove,yogurt,3
Scratch the t-shirt.,add,t-shirt,4
Get rid of 4 blanket from my order.,add,bread,3
Include 4 yogurt with my order.,remove,cheese,3
Eliminate the backpack from my cart.,add,sweater,2
Wipe out the blanket.,add,blanket,7
Could you toss 5 mug into the cart?,add,mug,0
Can you take out 3 yogurt?,remove,toaster,-4
Remove 1 shorts from the basket.,add,blender,2
I don’t need 10 milk anymore.,remove,eggs,6
Can you take out 10 shorts?,remove,mug,3
Drop the knife completely.,remove,t-shirt,-2
Pop 10 knife into my shopping bag.,add,bread,1
Please pull out 10 toaster.,add,scarf,-2
Let’s add 2 yogurt to the basket.,add,pillow,3
Could you toss 1 blanket into the cart?,add,shoes,0
Please pull out 6 blender.,remove,blender,2
I need 4 more water.,add,toaster,1
Let’s add 2 lamp to the basket.,remove,yogurt,1
Get rid of 4 sweater from my order.,add,shorts,3
I don’t need 4 backpack anymore.,add,yogurt,2
Include 3 shorts with my order.,remove,cheese,4
Throw in 2 socks for me.,add,chocolate,1
"I changed my mind about those blender, take 6 out.",remove,oranges,4
Remove 6 oranges from the basket.,remove,apples,1
Remove 6 hat from the basket.,remove,eggs,4
I don’t need 2 jeans anymore.,add,shoes,2
I'd like to get 1 blanket.,add,blanket,0
Scratch the cheese.,remove,eggs,1
Include 3 mug with my order.,add,water,0
Remove 3 milk from the basket.,add,bottle,3
Get rid of 2 bananas from my order.,add,sweater,0
Please pull out 1 hat.,remove,blanket,-1
Remove 10 scarf from the basket.,remove,plate,0
"I changed my mind about those toaster, take 5 out.",add,blanket,1
"I changed my mind about those toaster, take 5 out.",remove,shorts,4
Scratch the oranges.,add,blender,7
Let’s drop 3 cheese.,remove,eggs,7
"Grab me 4 apples, please.",remove,milk,5
Pop 2 bottle into my shopping bag.,remove,hat,-1
Remove 6 backpack from the basket.,remove,jacket,2
Can you take out 5 toaster?,add,eggs,3
I need 10 more pillow.,remove,backpack,-1
"Nix 6 backpack, please.",add,cheese,0
Could you toss 6 jacket into the cart?,remove,apples,0
Remove 1 jeans from the basket.,add,apples,3
I don’t want the cheese anymore.,add,bottle,4
I don’t need 3 oranges anymore.,remove,pan,-3
Could you toss 3 bread into the cart?,remove,cheese,6
I don’t want the oranges anymore.,add,pan,0
Please pull out 4 apples.,add,knife,9
Scratch the blender.,add,backpack,2
Can you take out 6 bananas?,remove,lamp,3
Remove 2 sweater from the basket.,add,shorts,4
"Grab me 3 jacket, please.",add,t-shirt,2
Scratch the socks.,remove,backpack,-2
I'd like to get 4 jeans.,remove,plate,-1
Eliminate the oranges from my cart.,remove,chocolate,7
Please pull out 5 eggs.,add,scarf,1
Throw in 3 chocolate for me.,add,blanket,3
Pop 1 water into my shopping bag.,remove,oranges,2
I need 3 more lamp.,remove,cheese,9
Can you take out 4 cheese?,remove,jeans,8
Could you toss 2 shorts into the cart?,remove,socks,5
Get rid of 2 plate from my order.,remove,socks,8
Forget about the knife.,remove,bottle,4
I don’t need 3 eggs anymore.,add,toaster,4
Let’s drop 10 apples.,add,water,6
Throw in 1 eggs for me.,remove,oranges,0
Eliminate the yogurt from my cart.,remove,knife,4
Forget about the scarf.,remove,socks,1
"Nix 3 pan, please.",remove,apples,4
Cancel the bread.,remove,water,7
Can you take out 1 jacket?,add,sweater,5
Include 2 backpack with my order.,add,hat,5
Scratch the bottle.,remove,plate,3
Cancel the scarf.,add,cheese,8
Please pull out 2 pan.,remove,yogurt,-2
Can you take out 6 bananas?,remove,blanket,7
Could you toss 6 bananas into the cart?,add,toaster,6
Wipe out the shorts.,add,pillow,7
I need 6 more backpack.,add,pillow,3
I don’t need 4 eggs anymore.,remove,bottle,5
Include 1 blanket with my order.,remove,socks,3
I don’t need 10 backpack anymore.,add,yogurt,1
I don’t need 6 jacket anymore.,remove,milk,8
Get rid of 5 socks from my order.,add,pan,0
Let’s drop 6 pillow.,add,shoes,5
Can you take out 10 knife?,remove,oranges,1
"Nix 1 pan, please.",remove,oranges,2
Get rid of 4 socks from my order.,add,toaster,0
I need 1 more shorts.,remove,jeans,4
Scratch the sweater.,remove,blanket,-1
Drop the t-shirt completely.,remove,pan,6
"Grab me 10 mug, please.",remove,jeans,4
"Grab me 1 apples, please.",remove,toaster,5
Remove 3 jeans from the basket.,add,apples,9
Can you take out 3 mug?,add,shorts,-1
Can you take out 4 yogurt?,add,chocolate,4
"Grab me 3 pillow, please.",add,socks,5
