user_input,action,product,quantity
I don't need 1 bucket anymore.,remove,bucket,1
Get rid of 6 sponge from my order.,remove,sponge,6
Make that 8 toothpaste.,add,toothpaste,8
Add 1 purse to the list.,add,purse,1
Forget about the curtain.,remove,curtain,1
"I changed my mind about those cup, take 8 out.",remove,cup,8
Cancel the candy.,remove,candy,1
Let’s add 5 pot to the basket.,add,pot,5
I need 6 t-shirt added.,add,t-shirt,6
Forget about the mirror.,remove,mirror,1
"Grab me 7 beer, please.",add,beer,7
Add 7 couch to the list.,add,couch,7
Please pull out 2 jelly.,remove,jelly,2
Get rid of 7 beef from my order.,remove,beef,7
Take 2 floss off my list.,remove,floss,2
Cancel 9 shelf.,remove,shelf,9
Take 10 bulb off my list.,remove,bulb,10
"I changed my mind about those shorts, take 1 out.",remove,shorts,1
I'd like to get 2 tuna.,add,tuna,2
Get rid of 5 jeans from my order.,remove,jeans,5
Please add 5 blanket.,add,blanket,5
Include 7 table with my order.,add,table,7
Include 5 lemonade with my order.,add,lemonade,5
Remove 9 sandals.,remove,sandals,9
Can you take out 10 oatmeal?,remove,oatmeal,10
Drop 1 clock.,remove,clock,1
Wipe out the knife.,remove,knife,1
Throw in 5 table for me.,add,table,5
Add 2 flour to the list.,add,flour,2
Give me 6 mittens.,add,mittens,6
"Nix 1 shampoo, please.",remove,shampoo,1
"I changed my mind about those necklace, take 2 out.",remove,necklace,2
Include 8 cream with my order.,add,cream,8
Could you toss 4 robe into the cart?,add,robe,4
"Nix 3 oranges, please.",remove,oranges,3
"Grab me 10 oatmeal, please.",add,oatmeal,10
Please pull out 7 tie.,remove,tie,7
Drop 6 plate.,remove,plate,6
Give me 3 eggs.,add,eggs,3
Throw in 8 soap for me.,add,soap,8
Drop 9 mat.,remove,mat,9
Remove 3 cauliflower.,remove,cauliflower,3
"Grab me 4 oil, please.",add,oil,4
I'd like to get 1 sunglasses.,add,sunglasses,1
Could you toss 10 suit into the cart?,add,suit,10
Please pull out 7 raincoat.,remove,raincoat,7
Please pull out 7 spoon.,remove,spoon,7
Give me 7 cup.,add,cup,7
Take 3 cheese off my list.,remove,cheese,3
I want to buy 2 tomato.,add,tomato,2
Let’s add 5 lamp to the basket.,add,lamp,5
I'd like to get 6 cauliflower.,add,cauliflower,6
Delete 5 salt from the cart.,remove,salt,5
Cancel the rice.,remove,rice,1
"Nix 4 toaster, please.",remove,toaster,4
Throw in 1 sweater for me.,add,sweater,1
I want to buy 7 oatmeal.,add,oatmeal,7
Get rid of 5 water from my order.,remove,water,5
I don't need 3 bottle anymore.,remove,bottle,3
"Grab me 6 cream, please.",add,cream,6
Make that 4 flour.,add,flour,4
Throw in 5 beer for me.,add,beer,5
Please add 1 shorts.,add,shorts,1
Make that 6 mittens.,add,mittens,6
Remove 1 conditioner from the basket.,remove,conditioner,1
Put 2 purse in my cart.,add,purse,2
Give me 5 garlic.,add,garlic,5
Let’s add 9 vase to the basket.,add,vase,9
I want to buy 9 bulb.,add,bulb,9
Give me 6 yogurt.,add,yogurt,6
Please pull out 8 tray.,remove,tray,8
Get rid of 2 bottle from my order.,remove,bottle,2
Can you take out 4 towel?,remove,towel,4
Give me 5 ginger.,add,ginger,5
"Nix 5 shrimp, please.",remove,shrimp,5
"Nix 9 umbrella, please.",remove,umbrella,9
Cancel 4 blouse.,remove,blouse,4
Drop the sandals completely.,remove,sandals,1
I need 7 glasses added.,add,glasses,7
I want to buy 6 blender.,add,blender,6
I don't need 2 wallet anymore.,remove,wallet,2
Make that 9 jacket.,add,jacket,9
Make that 8 wallet.,add,wallet,8
"Grab me 3 chips, please.",add,chips,3
Pop 8 bread into my shopping bag.,add,bread,8
Can you take out 10 tissue?,remove,tissue,10
I'd like to get 3 shorts.,add,shorts,3
Include 9 pretzels with my order.,add,pretzels,9
I need 10 raincoat added.,add,raincoat,10
Can you take out 5 mat?,remove,mat,5
Drop the pillow completely.,remove,pillow,1
"Nix 9 hat, please.",remove,hat,9
Add 1 mop to the list.,add,mop,1
Put 2 beanie in my cart.,add,beanie,2
"I changed my mind about those socks, take 3 out.",remove,socks,3
I don't need 7 corn anymore.,remove,corn,7
Remove 10 floss.,remove,floss,10
Pop 2 oranges into my shopping bag.,add,oranges,2
Put 3 eggs in my cart.,add,eggs,3
Put 1 jelly in my cart.,add,jelly,1
I don’t want the tomato anymore.,remove,tomato,1
Add 7 bowl to the list.,add,bowl,7
Drop 1 spaghetti.,remove,spaghetti,1
Drop 5 trousers.,remove,trousers,5
I need 8 honey added.,add,honey,8
Add 8 oranges to the list.,add,oranges,8
Get rid of 6 trousers from my order.,remove,trousers,6
Can you take out 4 raincoat?,remove,raincoat,4
Cancel 7 lemonade.,remove,lemonade,7
Make that 7 sugar.,add,sugar,7
Throw in 3 glass for me.,add,glass,3
Please pull out 1 toaster.,remove,toaster,1
I want to buy 7 necklace.,add,necklace,7
Cancel the lime.,remove,lime,1
Please pull out 6 water.,remove,water,6
Put 4 spaghetti in my cart.,add,spaghetti,4
Get rid of 7 handbag from my order.,remove,handbag,7
Please pull out 5 bread.,remove,bread,5
Remove 7 beanie.,remove,beanie,7
"I changed my mind about those chocolate, take 6 out.",remove,chocolate,6
I want to buy 9 garlic.,add,garlic,9
I want to buy 5 duvet.,add,duvet,5
Add 9 ring to the list.,add,ring,9
Could you toss 10 slippers into the cart?,add,slippers,10
Let’s add 8 shelf to the basket.,add,shelf,8
Can you take out 2 pitcher?,remove,pitcher,2
I don't need 8 mirror anymore.,remove,mirror,8
Please pull out 10 suit.,remove,suit,10
"I changed my mind about those jeans, take 10 out.",remove,jeans,10
"Nix 10 shorts, please.",remove,shorts,10
I don’t want the lemon anymore.,remove,lemon,1
Add 8 ring to the list.,add,ring,8
Make that 4 toaster.,add,toaster,4
Throw in 7 cup for me.,add,cup,7
Add 8 sugar to the list.,add,sugar,8
"I changed my mind about those lamp, take 6 out.",remove,lamp,6
I don't need 2 vest anymore.,remove,vest,2
I don't need 2 conditioner anymore.,remove,conditioner,2
Cancel 2 brush.,remove,brush,2
Put 3 lettuce in my cart.,add,lettuce,3
Scratch the knife.,remove,knife,1
Throw in 10 mittens for me.,add,mittens,10
"Grab me 4 lighter, please.",add,lighter,4
"Grab me 6 backpack, please.",add,backpack,6
Make that 2 towel.,add,towel,2
"Grab me 9 shelf, please.",add,shelf,9
Could you toss 1 jacket into the cart?,add,jacket,1
Add 8 backpack to the list.,add,backpack,8
Could you toss 2 cucumber into the cart?,add,cucumber,2
I need 1 pillow added.,add,pillow,1
I need 5 lemonade added.,add,lemonade,5
Could you toss 8 beanie into the cart?,add,beanie,8
Pop 2 heels into my shopping bag.,add,heels,2
Could you toss 4 cream into the cart?,add,cream,4
Could you toss 7 sheet into the cart?,add,sheet,7
Add 1 pillow to the list.,add,pillow,1
I need 4 more socks.,add,socks,4
Let’s add 9 blouse to the basket.,add,blouse,9
I'd like to get 3 soda.,add,soda,3
I'd like to get 1 bottle.,add,bottle,1
Please add 7 salt.,add,salt,7
Let’s drop 4 jacket.,remove,jacket,4
I want the juice gone.,remove,juice,1
Cancel the sweater.,remove,sweater,1
"Grab me 8 butter, please.",add,butter,8
Pop 3 toaster into my shopping bag.,add,toaster,3
Include 5 juice with my order.,add,juice,5
Let’s add 9 scarf to the basket.,add,scarf,9
Add 3 socks to the list.,add,socks,3
Take 9 nuts off my list.,remove,nuts,9
Please pull out 3 pot.,remove,pot,3
Drop 4 cereal.,remove,cereal,4
Take 3 tray off my list.,remove,tray,3
Please pull out 2 shelf.,remove,shelf,2
Put 10 vest in my cart.,add,vest,10
Remove 2 mirror.,remove,mirror,2
Delete 5 cheese from the cart.,remove,cheese,5
"Grab me 8 milk, please.",add,milk,8
Drop the steak completely.,remove,steak,1
Give me 6 blouse.,add,blouse,6
Throw in 2 jam for me.,add,jam,2
Include 2 conditioner with my order.,add,conditioner,2
Make that 6 cup.,add,cup,6
"Grab me 5 handbag, please.",add,handbag,5
Could you toss 3 candle into the cart?,add,candle,3
Throw in 6 water for me.,add,water,6
"Grab me 10 glass, please.",add,glass,10
Make that 1 coffee.,add,coffee,1
Get rid of 7 tray from my order.,remove,tray,7
Remove 5 razor from the basket.,remove,razor,5
Please pull out 8 battery.,remove,battery,8
Put 6 cauliflower in my cart.,add,cauliflower,6
Add 1 curtain to the list.,add,curtain,1
I need 4 soap added.,add,soap,4
I need 4 sofa added.,add,sofa,4
"Grab me 6 t-shirt, please.",add,t-shirt,6
Throw in 1 shorts for me.,add,shorts,1
Cancel the mirror.,remove,mirror,1
Delete 5 blouse from the cart.,remove,blouse,5
Remove 7 lemonade.,remove,lemonade,7
Can you take out 3 sunglasses?,remove,sunglasses,3
"I changed my mind about those chocolate, take 8 out.",remove,chocolate,8
Please pull out 5 shampoo.,remove,shampoo,5
Include 6 carrots with my order.,add,carrots,6
Throw in 4 tea for me.,add,tea,4
I'd like to get 10 bananas.,add,bananas,10
Can you take out 3 cucumber?,remove,cucumber,3
Give me 6 jam.,add,jam,6
Throw in 10 gown for me.,add,gown,10
I'd like to get 5 bulb.,add,bulb,5
Let’s add 1 chair to the basket.,add,chair,1
I need 9 vase added.,add,vase,9
Add 9 grapes to the list.,add,grapes,9
Delete 8 broccoli from the cart.,remove,broccoli,8
Cancel the potato.,remove,potato,1
I want to buy 7 gloves.,add,gloves,7
Remove 10 fan from the basket.,remove,fan,10
Remove 10 crackers from the basket.,remove,crackers,10
Get rid of 9 bulb from my order.,remove,bulb,9
Let’s add 7 robe to the basket.,add,robe,7
Can you take out 8 t-shirt?,remove,t-shirt,8
Throw in 3 garlic for me.,add,garlic,3
"Nix 10 paper, please.",remove,paper,10
Get rid of 3 table from my order.,remove,table,3
Put 2 tuna in my cart.,add,tuna,2
Make that 5 pan.,add,pan,5
Give me 5 tray.,add,tray,5
Remove 6 blouse from the basket.,remove,blouse,6
Eliminate the cup from my cart.,remove,cup,1
Remove 9 shampoo.,remove,shampoo,9
Can you take out 5 desk?,remove,desk,5
I don't need 10 beanie anymore.,remove,beanie,10
Pop 2 cabinet into my shopping bag.,add,cabinet,2
Cancel the conditioner.,remove,conditioner,1
I want to buy 3 tea.,add,tea,3
"I changed my mind about those sweater, take 5 out.",remove,sweater,5
Cancel 2 pajamas.,remove,pajamas,2
I don't need 1 mat anymore.,remove,mat,1
Can you take out 1 candle?,remove,candle,1
Please add 10 yogurt.,add,yogurt,10
Give me 9 towel.,add,towel,9
Put 9 cucumber in my cart.,add,cucumber,9
Please pull out 7 toothpaste.,remove,toothpaste,7
Please add 1 pajamas.,add,pajamas,1
I don't need 1 paper anymore.,remove,paper,1
Include 8 belt with my order.,add,belt,8
Make that 5 toothbrush.,add,toothbrush,5
Remove the broccoli.,remove,broccoli,1
Please pull out 2 blender.,remove,blender,2
"Nix 7 glasses, please.",remove,glasses,7
Please add 5 curtain.,add,curtain,5
Drop the clock completely.,remove,clock,1
Make that 2 mirror.,add,mirror,2
Let’s add 5 peas to the basket.,add,peas,5
I need 10 toothpaste added.,add,toothpaste,10
Let’s add 7 tie to the basket.,add,tie,7
I don't need 5 corn anymore.,remove,corn,5
"Nix 1 glasses, please.",remove,glasses,1
Let’s drop 5 lamp.,remove,lamp,5
"Nix 6 shelf, please.",remove,shelf,6
"Grab me 4 pork, please.",add,pork,4
I'd like to get 4 soap.,add,soap,4
I need 7 honey added.,add,honey,7
Could you toss 5 hat into the cart?,add,hat,5
Drop 5 sponge.,remove,sponge,5
Add 2 necklace to the list.,add,necklace,2
I'd like to get 10 skirt.,add,skirt,10
Drop the oatmeal completely.,remove,oatmeal,1
Please pull out 6 chocolate.,remove,chocolate,6
Wipe out the cream.,remove,cream,1
I want the blazer gone.,remove,blazer,1
"Nix 3 socks, please.",remove,socks,3
Wipe out the gloves.,remove,gloves,1
Give me 7 fork.,add,fork,7
Remove 10 onion.,remove,onion,10
Remove the backpack.,remove,backpack,1
Let’s add 3 lamp to the basket.,add,lamp,3
Take 3 pork off my list.,remove,pork,3
Add 4 heater to the list.,add,heater,4
I want to buy 1 oranges.,add,oranges,1
Wipe out the pajamas.,remove,pajamas,1
I'd like to get 7 beanie.,add,beanie,7
Could you toss 2 socks into the cart?,add,socks,2
Please add 8 couch.,add,couch,8
Take 7 floss off my list.,remove,floss,7
Please add 10 brush.,add,brush,10
Eliminate the tomato from my cart.,remove,tomato,1
I don’t want the sandals anymore.,remove,sandals,1
I want the slippers gone.,remove,slippers,1
Please add 2 noodles.,add,noodles,2
Let’s add 4 skirt to the basket.,add,skirt,4
Get rid of 1 bowl from my order.,remove,bowl,1
Could you toss 10 coat into the cart?,add,coat,10
Drop 7 jacket.,remove,jacket,7
Give me 5 purse.,add,purse,5
I don't need 8 tuna anymore.,remove,tuna,8
Let’s add 5 beanie to the basket.,add,beanie,5
Make that 1 pot.,add,pot,1
I want to buy 7 suitcase.,add,suitcase,7
Wipe out the heels.,remove,heels,1
Please pull out 5 beer.,remove,beer,5
Remove 4 wine from the basket.,remove,wine,4
Get rid of 6 sneakers from my order.,remove,sneakers,6
"I changed my mind about those tomato, take 1 out.",remove,tomato,1
Put 6 candy in my cart.,add,candy,6
I'd like to get 1 milk.,add,milk,1
Cancel the t-shirt.,remove,t-shirt,1
I need 1 yogurt added.,add,yogurt,1
Throw in 5 fork for me.,add,fork,5
I'd like to get 8 razor.,add,razor,8
Let’s add 5 beef to the basket.,add,beef,5
Give me 4 mattress.,add,mattress,4
Remove 7 clock from the basket.,remove,clock,7
Could you toss 7 blouse into the cart?,add,blouse,7
I want to buy 5 toothbrush.,add,toothbrush,5
Put 2 brush in my cart.,add,brush,2
Let’s add 5 broccoli to the basket.,add,broccoli,5
Pop 4 nuts into my shopping bag.,add,nuts,4
Take 5 wine off my list.,remove,wine,5
"Grab me 3 suit, please.",add,suit,3
I'd like to get 8 bottle.,add,bottle,8
"I changed my mind about those necklace, take 6 out.",remove,necklace,6
Make that 4 beanie.,add,beanie,4
Please add 4 hat.,add,hat,4
I'd like to get 8 cream.,add,cream,8
"Grab me 6 robe, please.",add,robe,6
Delete 4 rug from the cart.,remove,rug,4
I need 6 juice added.,add,juice,6
Throw in 7 mattress for me.,add,mattress,7
Get rid of 2 apples from my order.,remove,apples,2
Please pull out 8 vase.,remove,vase,8
Wipe out the onion.,remove,onion,1
Put 10 steak in my cart.,add,steak,10
Could you toss 6 rug into the cart?,add,rug,6
Make that 1 razor.,add,razor,1
"I changed my mind about those bananas, take 10 out.",remove,bananas,10
Throw in 2 umbrella for me.,add,umbrella,2
Remove 5 shrimp.,remove,shrimp,5
Please pull out 10 lamp.,remove,lamp,10
"Nix 10 purse, please.",remove,purse,10
Eliminate the earring from my cart.,remove,earring,1
Add 1 milk to the list.,add,milk,1
I want to buy 5 fan.,add,fan,5
Please add 5 skillet.,add,skillet,5
Wipe out the jacket.,remove,jacket,1
Remove 4 boots.,remove,boots,4
Delete 6 beanie from the cart.,remove,beanie,6
I want to buy 4 handbag.,add,handbag,4
I want to buy 1 lemonade.,add,lemonade,1
Please add 6 garlic.,add,garlic,6
Throw in 2 toothpaste for me.,add,toothpaste,2
Remove 2 cabinet.,remove,cabinet,2
Could you toss 6 belt into the cart?,add,belt,6
Can you take out 10 cheese?,remove,cheese,10
"I changed my mind about those glass, take 9 out.",remove,glass,9
Please add 3 pork.,add,pork,3
Please pull out 9 lettuce.,remove,lettuce,9
Please pull out 5 shirt.,remove,shirt,5
I don't need 6 spoon anymore.,remove,spoon,6
I need 8 pepper added.,add,pepper,8
Cancel the toothbrush.,remove,toothbrush,1
Please add 10 chair.,add,chair,10
Put 3 shampoo in my cart.,add,shampoo,3
Throw in 3 milk for me.,add,milk,3
"Grab me 7 towel, please.",add,towel,7
Put 10 bulb in my cart.,add,bulb,10
Pop 2 cream into my shopping bag.,add,cream,2
Include 1 pork with my order.,add,pork,1
Get rid of 2 garlic from my order.,remove,garlic,2
I'd like to get 4 chips.,add,chips,4
Let’s drop 4 eggs.,remove,eggs,4
I want to buy 8 gown.,add,gown,8
Please add 8 wallet.,add,wallet,8
Could you toss 3 beer into the cart?,add,beer,3
Include 7 bucket with my order.,add,bucket,7
I don't need 2 tomato anymore.,remove,tomato,2
"Nix 8 apples, please.",remove,apples,8
Let’s add 9 mat to the basket.,add,mat,9
Get rid of 5 belt from my order.,remove,belt,5
Make that 2 lamp.,add,lamp,2
Please add 5 pasta.,add,pasta,5
I don’t need 3 shoes anymore.,remove,shoes,3
I want to buy 10 beans.,add,beans,10
Delete 10 coffee from the cart.,remove,coffee,10
I want to buy 8 necklace.,add,necklace,8
Please add 5 razor.,add,razor,5
"Nix 3 shorts, please.",remove,shorts,3
Remove 1 broom.,remove,broom,1
Pop 9 corn into my shopping bag.,add,corn,9
I don't need 10 beer anymore.,remove,beer,10
Can you take out 9 blanket?,remove,blanket,9
Cancel the soap.,remove,soap,1
Drop 7 beef.,remove,beef,7
I'd like to get 2 glass.,add,glass,2
Put 1 lamp in my cart.,add,lamp,1
Take 2 watch off my list.,remove,watch,2
I don't need 9 vest anymore.,remove,vest,9
Remove 10 cookies.,remove,cookies,10
Pop 1 water into my shopping bag.,add,water,1
Include 6 oranges with my order.,add,oranges,6
Cancel 3 lotion.,remove,lotion,3
I need 7 butter added.,add,butter,7
Include 4 bananas with my order.,add,bananas,4
Remove 3 sugar.,remove,sugar,3
"Nix 6 apples, please.",remove,apples,6
Make that 5 honey.,add,honey,5
Remove 3 umbrella from the basket.,remove,umbrella,3
Delete 8 sandals from the cart.,remove,sandals,8
Let’s add 3 beans to the basket.,add,beans,3
"I changed my mind about those socks, take 4 out.",remove,socks,4
Put 1 pot in my cart.,add,pot,1
Eliminate the beanie from my cart.,remove,beanie,1
Please pull out 1 jeans.,remove,jeans,1
Let’s drop 4 sweater.,remove,sweater,4
Drop 8 butter.,remove,butter,8
"I changed my mind about those spaghetti, take 9 out.",remove,spaghetti,9
Put 4 carrots in my cart.,add,carrots,4
Wipe out the potato.,remove,potato,1
Add 8 cabinet to the list.,add,cabinet,8
Put 5 blazer in my cart.,add,blazer,5
"Nix 9 spaghetti, please.",remove,spaghetti,9
I want to buy 8 crackers.,add,crackers,8
"Nix 9 peas, please.",remove,peas,9
I don’t need 3 pillow anymore.,remove,pillow,3
Remove 10 pan.,remove,pan,10
I want the knife gone.,remove,knife,1
Make that 9 coat.,add,coat,9
Remove 5 heels from the basket.,remove,heels,5
Drop 6 pajamas.,remove,pajamas,6
"Grab me 10 potato, please.",add,potato,10
Make that 3 beanie.,add,beanie,3
Throw in 6 clock for me.,add,clock,6
Remove the corn.,remove,corn,1
"Grab me 10 tuna, please.",add,tuna,10
I don’t want the napkin anymore.,remove,napkin,1
Remove 6 oranges from the basket.,remove,oranges,6
Take out the rice.,remove,rice,1
Drop 3 pan.,remove,pan,3
Take out the chair.,remove,chair,1
I want the wine gone.,remove,wine,1
Throw in 4 vinegar for me.,add,vinegar,4
Please pull out 10 eggs.,remove,eggs,10
Remove 4 cheese from the basket.,remove,cheese,4
I don't need 5 yogurt anymore.,remove,yogurt,5
Throw in 3 chocolate for me.,add,chocolate,3
Wipe out the coffee.,remove,coffee,1
Remove 4 glass.,remove,glass,4
Please add 4 coffee.,add,coffee,4
Please add 5 milk.,add,milk,5
Take 10 water off my list.,remove,water,10
Add 4 desk to the list.,add,desk,4
Include 7 cream with my order.,add,cream,7
Delete 9 toothbrush from the cart.,remove,toothbrush,9
Could you toss 7 honey into the cart?,add,honey,7
Put 4 bowl in my cart.,add,bowl,4
"Nix 2 chair, please.",remove,chair,2
Include 1 bucket with my order.,add,bucket,1
Cancel 4 sponge.,remove,sponge,4
Forget about the glasses.,remove,glasses,1
I don’t need 2 bananas anymore.,remove,bananas,2
Pop 6 razor into my shopping bag.,add,razor,6
Please add 6 glass.,add,glass,6
Eliminate the cheese from my cart.,remove,cheese,1
Drop the spinach completely.,remove,spinach,1
I want to buy 5 fish.,add,fish,5
Throw in 4 gloves for me.,add,gloves,4
Pop 9 robe into my shopping bag.,add,robe,9
"Nix 2 toothpaste, please.",remove,toothpaste,2
"Nix 2 lime, please.",remove,lime,2
I don’t want the purse anymore.,remove,purse,1
Include 8 blouse with my order.,add,blouse,8
I need 10 oatmeal added.,add,oatmeal,10
Cancel 5 jeans.,remove,jeans,5
Pop 7 oil into my shopping bag.,add,oil,7
Please pull out 8 coat.,remove,coat,8
I'd like to get 7 tray.,add,tray,7
"Grab me 2 eggs, please.",add,eggs,2
Delete 8 blind from the cart.,remove,blind,8
Remove the rice.,remove,rice,1
Please pull out 2 shoes.,remove,shoes,2
I don't need 1 tomato anymore.,remove,tomato,1
"Grab me 2 tie, please.",add,tie,2
Remove 1 shorts from the basket.,remove,shorts,1
Take 9 cap off my list.,remove,cap,9
I want the curtain gone.,remove,curtain,1
Remove 8 bucket from the basket.,remove,bucket,8
Make that 1 chips.,add,chips,1
I don't need 8 ginger anymore.,remove,ginger,8
"I changed my mind about those sweater, take 8 out.",remove,sweater,8
Make that 7 sweater.,add,sweater,7
Drop 10 ginger.,remove,ginger,10
I'd like to get 2 lamp.,add,lamp,2
Include 5 apples with my order.,add,apples,5
Could you toss 4 vase into the cart?,add,vase,4
"Nix 1 lemonade, please.",remove,lemonade,1
Get rid of the tissue.,remove,tissue,1
Put 6 lamp in my cart.,add,lamp,6
Please pull out 1 salt.,remove,salt,1
Please add 10 shrimp.,add,shrimp,10
Can you take out 3 corn?,remove,corn,3
Include 2 broom with my order.,add,broom,2
I don’t want the glasses anymore.,remove,glasses,1
Remove 4 beef from the basket.,remove,beef,4
Drop the vinegar completely.,remove,vinegar,1
Please add 10 tray.,add,tray,10
Remove 2 ginger.,remove,ginger,2
I'd like to get 1 t-shirt.,add,t-shirt,1
Throw in 3 peas for me.,add,peas,3
"Nix 1 jelly, please.",remove,jelly,1
Please add 10 sunglasses.,add,sunglasses,10
I'd like to get 10 lettuce.,add,lettuce,10
Remove 1 fan.,remove,fan,1
Let’s add 8 bread to the basket.,add,bread,8
Cancel 4 vase.,remove,vase,4
Delete 7 glasses from the cart.,remove,glasses,7
I don’t want the gloves anymore.,remove,gloves,1
Pop 6 cereal into my shopping bag.,add,cereal,6
I'd like to get 2 chocolate.,add,chocolate,2
Wipe out the coat.,remove,coat,1
I want to buy 6 bracelet.,add,bracelet,6
Throw in 9 onion for me.,add,onion,9
I'd like to get 3 tray.,add,tray,3
Could you toss 1 toothbrush into the cart?,add,toothbrush,1
Remove 1 yogurt from the basket.,remove,yogurt,1
Make that 4 handbag.,add,handbag,4
Let’s add 2 blender to the basket.,add,blender,2
Delete 1 onion from the cart.,remove,onion,1
"Grab me 6 shorts, please.",add,shorts,6
Include 7 sweater with my order.,add,sweater,7
"I changed my mind about those candy, take 9 out.",remove,candy,9
Please add 7 toothbrush.,add,toothbrush,7
Include 4 glasses with my order.,add,glasses,4
Please pull out 8 blazer.,remove,blazer,8
Please add 3 floss.,add,floss,3
I'd like to get 8 coat.,add,coat,8
Put 2 shorts in my cart.,add,shorts,2
Put 7 soda in my cart.,add,soda,7
Include 2 paper with my order.,add,paper,2
Remove 4 soda from the basket.,remove,soda,4
Please add 5 cereal.,add,cereal,5
Delete 1 cabinet from the cart.,remove,cabinet,1
Take 4 jelly off my list.,remove,jelly,4
Get rid of the salmon.,remove,salmon,1
I'd like to get 10 sandals.,add,sandals,10
Take 10 scarf off my list.,remove,scarf,10
Delete 9 heater from the cart.,remove,heater,9
Delete 6 boots from the cart.,remove,boots,6
I want to buy 9 steak.,add,steak,9
Remove the yogurt.,remove,yogurt,1
Could you toss 10 rug into the cart?,add,rug,10
Get rid of the skirt.,remove,skirt,1
Can you take out 6 cheese?,remove,cheese,6
Can you take out 5 bananas?,remove,bananas,5
Can you take out 5 chocolate?,remove,chocolate,5
Scratch the chocolate.,remove,chocolate,1
Please pull out 3 potato.,remove,potato,3
Remove 5 jam.,remove,jam,5
Remove 5 honey from the basket.,remove,honey,5
"Grab me 9 pepper, please.",add,pepper,9
Let’s add 5 knife to the basket.,add,knife,5
Please add 9 trousers.,add,trousers,9
Include 5 mirror with my order.,add,mirror,5
Throw in 9 raincoat for me.,add,raincoat,9
Cancel 7 clock.,remove,clock,7
Could you toss 6 lime into the cart?,add,lime,6
Include 8 sneakers with my order.,add,sneakers,8
Wipe out the bananas.,remove,bananas,1
Take 2 noodles off my list.,remove,noodles,2
Throw in 10 cheese for me.,add,cheese,10
Take 2 spaghetti off my list.,remove,spaghetti,2
Remove 7 curtain.,remove,curtain,7
Put 7 candy in my cart.,add,candy,7
Remove 4 desk.,remove,desk,4
Please pull out 6 shelf.,remove,shelf,6
Delete 3 ring from the cart.,remove,ring,3
Pop 5 blender into my shopping bag.,add,blender,5
"Grab me 1 yogurt, please.",add,yogurt,1
Put 9 lighter in my cart.,add,lighter,9
Let’s drop 1 bottle.,remove,bottle,1
Delete 4 lettuce from the cart.,remove,lettuce,4
Wipe out the suitcase.,remove,suitcase,1
Throw in 6 bread for me.,add,bread,6
"Grab me 2 pan, please.",add,pan,2
I'd like to get 2 tray.,add,tray,2
"Grab me 8 bracelet, please.",add,bracelet,8
Delete 3 vase from the cart.,remove,vase,3
Throw in 3 water for me.,add,water,3
Forget about the bulb.,remove,bulb,1
Can you take out 4 blind?,remove,blind,4
Remove 8 plate.,remove,plate,8
Please add 5 toaster.,add,toaster,5
Throw in 5 suitcase for me.,add,suitcase,5
"Grab me 10 chips, please.",add,chips,10
Throw in 8 pasta for me.,add,pasta,8
I don’t want the backpack anymore.,remove,backpack,1
Delete 10 shirt from the cart.,remove,shirt,10
Delete 7 onion from the cart.,remove,onion,7
Let’s add 6 socks to the basket.,add,socks,6
Wipe out the eggs.,remove,eggs,1
Please add 3 purse.,add,purse,3
"I changed my mind about those bulb, take 10 out.",remove,bulb,10
"Grab me 1 pot, please.",add,pot,1
